epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1289.42,0.88719,3.64607,1.00589,0.00869,0.01071,0.00475,0.00429,0.50333,3.36721,1.1774,3.0695e-05,3.0695e-05,3.0695e-05
41,1321.5,0.86966,3.63207,1.00428,0.00938,0.01087,0.00511,0.00489,0.50483,3.36185,1.17553,3.02e-05,3.02e-05,3.02e-05
42,1353.86,0.90274,3.63269,0.99574,0.00882,0.01143,0.00485,0.00466,0.50655,3.36908,1.17238,2.9705e-05,2.9705e-05,2.9705e-05
43,1386.12,0.86925,3.61922,1.0023,0.0095,0.01102,0.00518,0.00469,0.50304,3.36176,1.17139,2.921e-05,2.921e-05,2.921e-05
44,1418.54,0.86896,3.61562,1.00851,0.00877,0.01097,0.00482,0.00463,0.49035,3.35609,1.16867,2.8715e-05,2.8715e-05,2.8715e-05
45,1450.79,0.84826,3.60447,1.00196,0.00831,0.01082,0.0046,0.00441,0.4997,3.36947,1.1682,2.822e-05,2.822e-05,2.822e-05
46,1482.87,0.8462,3.59887,0.99064,0.00363,0.01087,0.00225,0.00206,0.49629,3.36225,1.16609,2.7725e-05,2.7725e-05,2.7725e-05
47,1514.91,0.85,3.59356,0.98944,0.00343,0.01051,0.00219,0.00199,0.49872,3.35925,1.16316,2.723e-05,2.723e-05,2.723e-05
48,1547.23,0.86259,3.59677,0.99353,0.00413,0.01071,0.00253,0.00232,0.48617,3.35821,1.16328,2.6735e-05,2.6735e-05,2.6735e-05
49,1579.31,0.8412,3.58669,0.99366,0.00392,0.01056,0.00243,0.00222,0.48993,3.35924,1.16442,2.624e-05,2.624e-05,2.624e-05
50,1611.36,0.82342,3.57964,0.99055,0.00477,0.01138,0.00287,0.00263,0.48415,3.3476,1.16038,2.5745e-05,2.5745e-05,2.5745e-05
51,1643.44,0.81451,3.56824,0.98341,0.00434,0.01117,0.00267,0.00244,0.48929,3.35594,1.16125,2.525e-05,2.525e-05,2.525e-05
52,1675.53,0.79416,3.56473,0.97996,0.00439,0.01071,0.00272,0.00248,0.4903,3.35546,1.16186,2.4755e-05,2.4755e-05,2.4755e-05
53,1707.61,0.80828,3.564,0.98302,0.00493,0.01112,0.003,0.00273,0.49483,3.35633,1.16043,2.426e-05,2.426e-05,2.426e-05
54,1739.79,0.80076,3.5561,0.97675,0.00512,0.01173,0.00308,0.00283,0.48822,3.34481,1.1579,2.3765e-05,2.3765e-05,2.3765e-05
55,1771.77,0.77931,3.55033,0.9815,0.00485,0.01117,0.00294,0.00271,0.49268,3.35403,1.15933,2.327e-05,2.327e-05,2.327e-05
56,1803.74,0.77829,3.54849,0.98321,0.00677,0.01204,0.00393,0.00359,0.48397,3.34522,1.15766,2.2775e-05,2.2775e-05,2.2775e-05
57,1835.71,0.76033,3.53867,0.97649,0.00908,0.01184,0.00511,0.00464,0.49641,3.35136,1.15805,2.228e-05,2.228e-05,2.228e-05
58,1867.68,0.77457,3.54206,0.98063,0.00694,0.01224,0.00404,0.00369,0.48836,3.34588,1.15625,2.1785e-05,2.1785e-05,2.1785e-05
59,1899.73,0.75972,3.53744,0.97992,0.00584,0.01204,0.00346,0.00317,0.48561,3.34089,1.15633,2.129e-05,2.129e-05,2.129e-05
60,1942.21,0.75439,3.53458,0.98272,0.00438,0.01245,0.00272,0.00251,0.48756,3.34571,1.15608,2.0795e-05,2.0795e-05,2.0795e-05
61,1974.92,0.7837,3.53551,0.97499,0.00459,0.01255,0.00285,0.00262,0.48772,3.34968,1.15546,2.03e-05,2.03e-05,2.03e-05
62,2006.97,0.74991,3.52323,0.96535,0.00457,0.0123,0.00281,0.0026,0.4963,3.35185,1.15802,1.9805e-05,1.9805e-05,1.9805e-05
63,2038.91,0.7584,3.52766,0.976,0.0048,0.0127,0.00294,0.00271,0.4959,3.34452,1.15374,1.931e-05,1.931e-05,1.931e-05
64,2071.13,0.75693,3.51953,0.96514,0.01009,0.01214,0.00563,0.00515,0.49463,3.35243,1.15664,1.8815e-05,1.8815e-05,1.8815e-05
65,2103.06,0.75915,3.52832,0.98037,0.00527,0.01316,0.0032,0.00296,0.49229,3.34808,1.1578,1.832e-05,1.832e-05,1.832e-05
66,2135.12,0.75038,3.51863,0.97,0.00498,0.01296,0.00305,0.00284,0.48613,3.34772,1.15562,1.7825e-05,1.7825e-05,1.7825e-05
67,2167.19,0.73665,3.51387,0.97186,0.00521,0.01291,0.00317,0.00297,0.49111,3.35166,1.15702,1.733e-05,1.733e-05,1.733e-05
68,2198.95,0.72682,3.50895,0.96849,0.0051,0.01316,0.00311,0.00291,0.4865,3.35386,1.15852,1.6835e-05,1.6835e-05,1.6835e-05
69,2230.94,0.75124,3.5168,0.97313,0.01088,0.01316,0.00607,0.00559,0.48418,3.35233,1.15505,1.634e-05,1.634e-05,1.634e-05
70,2262.83,0.71945,3.50793,0.9695,0.00604,0.01393,0.00369,0.00346,0.48747,3.35465,1.15647,1.5845e-05,1.5845e-05,1.5845e-05
71,2294.64,0.72167,3.50725,0.97073,0.00627,0.01449,0.00377,0.0035,0.48071,3.3555,1.15721,1.535e-05,1.535e-05,1.535e-05
72,2326.37,0.70717,3.50058,0.97279,0.00594,0.01434,0.0036,0.00337,0.4903,3.36085,1.16042,1.4855e-05,1.4855e-05,1.4855e-05
73,2360.21,0.72043,3.50294,0.96947,0.00608,0.01439,0.0037,0.00345,0.48964,3.35619,1.15954,1.436e-05,1.436e-05,1.436e-05
74,2395.27,0.7279,3.50208,0.96101,0.0058,0.01429,0.00354,0.00332,0.48421,3.35858,1.15882,1.3865e-05,1.3865e-05,1.3865e-05
75,2428.8,0.7131,3.49922,0.96824,0.00675,0.01469,0.00403,0.00376,0.48616,3.35964,1.16008,1.337e-05,1.337e-05,1.337e-05
76,2462.63,0.69833,3.49387,0.96429,0.00708,0.01418,0.00421,0.00393,0.48818,3.36279,1.1609,1.2875e-05,1.2875e-05,1.2875e-05
77,2496.64,0.70278,3.49457,0.96586,0.00593,0.01469,0.00364,0.00338,0.48781,3.36038,1.16078,1.238e-05,1.238e-05,1.238e-05
78,2531.14,0.7144,3.50052,0.96629,0.00669,0.015,0.00402,0.00379,0.48149,3.36419,1.16173,1.1885e-05,1.1885e-05,1.1885e-05
79,2568.07,0.69978,3.48935,0.96292,0.00723,0.01536,0.00434,0.00404,0.48747,3.35845,1.15865,1.139e-05,1.139e-05,1.139e-05
